Valimisringkonna nr,Erakond,Kandidaat,Häälte arv
3,Erakond Eesti 200,EDUARD FINAGIN,63
3,Erakond Eesti 200,MAREK KARM,61
3,Erakond Eesti 200,HANNO PÜTTSEPP,40
3,Eesti Keskerakond,TAAVI AAS,3925
3,Eesti Keskerakond,LAURI LAATS,3251
3,Eesti Keskerakond,IGOR KRAVTŠENKO,1223
3,Eesti Keskerakond,KERSTIN-OUDEKKI LOONE,820
3,Eesti Keskerakond,TIIT TERIK,799
3,Eesti Keskerakond,EDUARD TOMAN,617
3,Eesti Keskerakond,HELLE KALDA,447
3,Eesti Keskerakond,MERIKE MARTINSON,363
3,Eesti Keskerakond,ANDRA VEIDEMANN,350
3,Eesti Keskerakond,GRETE ŠILLIS,150
3,Eestimaa Ühendatud Vasakpartei,IGOR ROSENFELD,37
3,Isamaa Erakond,URMAS REINSALU,2633
3,Isamaa Erakond,MART NUTT,1135
3,Isamaa Erakond,ELLE KULL,413
3,Isamaa Erakond,TRIVIMI VELLISTE,340
3,Isamaa Erakond,ANDRES ÖPIK,153
3,Isamaa Erakond,URMAS MARDI,109
3,Isamaa Erakond,INDREK LUBERG,108
3,Isamaa Erakond,KRISTIAN TASKA,97
3,Isamaa Erakond,ANNE EENPALU,67
3,Isamaa Erakond,ANDRES ERGMA,31
3,Üksikkandidaadid,KALJU MÄTIK,1197
3,Üksikkandidaadid,VEIKO TANI,1199
4,Eesti Vabaerakond,JUKU-KALLE RAID,497
4,Eesti Vabaerakond,TIIA VÄLK,122
4,Eesti Vabaerakond,TIIU KUURME,114
4,Eesti Vabaerakond,JAAK VACKERMANN,56
4,Eesti Vabaerakond,MIHHAIL JALLAJAS,51
4,Eesti Vabaerakond,RAIVO KOKSER,50
4,Eesti Vabaerakond,KRISTO KRUMM,29
4,Eesti Vabaerakond,VAHUR HERM,27
4,Eesti Vabaerakond,REIN REBANE,23
4,Eesti Vabaerakond,SIIRI KÄPA,21
4,Eesti Vabaerakond,KAIE HERKEL,18
4,Eesti Vabaerakond,ELDAR TOONVERK,14
4,Eesti Vabaerakond,PEETER LUKAS,14
4,Eesti Vabaerakond,SUIDO SAARMETS,13
4,Eesti Vabaerakond,DEIN-TOM TÕNSING,12
4,Eesti Vabaerakond,RIINA KURG,11
4,Eesti Vabaerakond,AARE PERNIK,6
4,Eesti Reformierakond,KAJA KALLAS,20072
4,Eesti Reformierakond,MARKO MIHKELSON,3655
4,Eesti Reformierakond,AIVAR SÕERD,2476
4,Eesti Reformierakond,MADIS MILLING,2310
4,Eesti Reformierakond,KALLE PALLING,1655
4,Eesti Reformierakond,MART VÕRKLAEV,1025
4,Eesti Reformierakond,TIMO SUSLOV,781
4,Eesti Reformierakond,VLADAS RADVILAVIČIUS,569
4,Eesti Reformierakond,ANDRUS UMBOJA,562
4,Eesti Reformierakond,TIIT VAHENÕMM,270
4,Eesti Reformierakond,KADRI KURM,262
4,Eesti Reformierakond,LAINE RANDJÄRV,245
4,Eesti Reformierakond,OTT KASURI,213
4,Eesti Reformierakond,JAAN ALVER,176
4,Eesti Reformierakond,TIINA RÜHKA,174
4,Eesti Reformierakond,MARKO RAUDLAM,101
4,Eesti Reformierakond,LIANA NÕGENE,25
4,Erakond Eestimaa Rohelised,ANU NATALY SAAGIM-RATIA,608
4,Erakond Eestimaa Rohelised,JAKKO VÄLI,236
4,Erakond Eestimaa Rohelised,JOONAS LAKS,232
4,Erakond Eestimaa Rohelised,LAURA KIIROJA,207
4,Erakond Eestimaa Rohelised,KATRIN LEHTVEER,89
4,Erakond Eestimaa Rohelised,TIIU-ANN KALDMA,56
4,Erakond Eestimaa Rohelised,MAI MIKK,48
4,Erakond Eestimaa Rohelised,HANNES METS,40
4,Erakond Eestimaa Rohelised,ANDRES MEESAK,36
4,Erakond Eestimaa Rohelised,ANDREI GUDIM,29
4,Erakond Eestimaa Rohelised,ANNE VAHEMÄE,29
4,Erakond Eestimaa Rohelised,PAVEL KRÕLATOV,20
4,Erakond Eestimaa Rohelised,GERT HÄUSLER,15
4,Erakond Eestimaa Rohelised,AUL PEDAJAS,13
4,Erakond Eestimaa Rohelised,CHRISTINA RANNIT,13
4,Erakond Eestimaa Rohelised,ERKO SOOPALU,8
4,Erakond Eestimaa Rohelised,KALLE OLUMETS,7
4,Sotsiaaldemokraatlik Erakond,MARINA KALJURAND,5504
4,Sotsiaaldemokraatlik Erakond,RENE TAMMIST,506
4,Sotsiaaldemokraatlik Erakond,KADRI KÕUSAAR,240
4,Sotsiaaldemokraatlik Erakond,HARDI VOLMER,219
4,Sotsiaaldemokraatlik Erakond,TÕNIS BLANK,187
4,Sotsiaaldemokraatlik Erakond,TÕNU OJA,177
4,Sotsiaaldemokraatlik Erakond,TANEL TALVE,156
4,Sotsiaaldemokraatlik Erakond,PILLE PETERSOO,123
4,Sotsiaaldemokraatlik Erakond,MADIS ROODLA,114
4,Sotsiaaldemokraatlik Erakond,MERIKE METSTAK,101
4,Sotsiaaldemokraatlik Erakond,OTT VALDMA,94
4,Sotsiaaldemokraatlik Erakond,AIN PINNONEN,70
4,Sotsiaaldemokraatlik Erakond,MATI ÕUNLOO,36
4,Sotsiaaldemokraatlik Erakond,ILJA BORODKIN,32
4,Sotsiaaldemokraatlik Erakond,AIN BÖCKLER,28
4,Sotsiaaldemokraatlik Erakond,JÜRI-SAIMON KUUSEMETS,27
4,Sotsiaaldemokraatlik Erakond,MARK TENIN,7
4,Elurikkuse Erakond,ARTUR TALVIK,822
4,Elurikkuse Erakond,EHA METSALLIK,135
4,Elurikkuse Erakond,VAL RAJASAAR,130
4,Elurikkuse Erakond,HELI PIISANG,114
4,Elurikkuse Erakond,LIIS TRUUBON,50
4,Elurikkuse Erakond,MARIKA JAHILO,43
4,Elurikkuse Erakond,PAAVO EENSALU,37
4,Elurikkuse Erakond,KAJA KARU-ESPENBERG,30
4,Elurikkuse Erakond,JAANUS SAADVE,27
4,Elurikkuse Erakond,RIHO KIRMJÕE,18
4,Elurikkuse Erakond,KALLE VIRKUS,15
4,Elurikkuse Erakond,MADIS IGANÕMM,12
4,Elurikkuse Erakond,URMAS EELMÄE,10
4,Eesti Konservatiivne Rahvaerakond,HENN PÕLLUAAS,7390
4,Eesti Konservatiivne Rahvaerakond,SIIM POHLAK,4152
4,Eesti Konservatiivne Rahvaerakond,RENE KOKK,1458
4,Eesti Konservatiivne Rahvaerakond,KAI RIMMEL,873
4,Eesti Konservatiivne Rahvaerakond,JAANUS HÄRMS,445
4,Eesti Konservatiivne Rahvaerakond,PAUL PUUSTUSMAA,419
4,Eesti Konservatiivne Rahvaerakond,ROLAND TÕNISSON,252
4,Eesti Konservatiivne Rahvaerakond,MEELIS ROSENFELD,252
4,Eesti Konservatiivne Rahvaerakond,MART JÄRVIK,223
4,Eesti Konservatiivne Rahvaerakond,TÕNU URVA,201
4,Eesti Konservatiivne Rahvaerakond,RUDOLF JEESER,186
4,Eesti Konservatiivne Rahvaerakond,ALAR VALGE,183
4,Eesti Konservatiivne Rahvaerakond,PEETER KRALL,169
4,Erakond Eesti 200,PRIIT ALAMÄE,1811
4,Erakond Eesti 200,MONIKA SALU,394
4,Erakond Eesti 200,ANDO KIVIBERG,356
4,Erakond Eesti 200,SANDRA JÄRV,239
4,Erakond Eesti 200,JÜRI LEHTMETS,152
4,Erakond Eesti 200,TAAVI TOOM,148
4,Erakond Eesti 200,TERJE BACHMANN,106
4,Erakond Eesti 200,JAAK RAIE,94
4,Erakond Eesti 200,NADEŽDA GRETŠNEVKINA,70
4,Erakond Eesti 200,LEINO MÄGI,61
4,Erakond Eesti 200,HILJE SAVOLAINEN,55
4,Erakond Eesti 200,JOEL JESSE,49
4,Erakond Eesti 200,RAIVO MERERAND,45
4,Erakond Eesti 200,MARKO NUMMERT,27
4,Erakond Eesti 200,HILLAR JOON,24
4,Erakond Eesti 200,ARKO OKK,23
4,Erakond Eesti 200,TOOMAS TEPOMES,15
4,Eesti Keskerakond,JÜRI RATAS,9702
4,Eesti Keskerakond,VLADIMIR ARHIPOV,944
4,Eesti Keskerakond,KAIDO HÖÖVELSON,642
4,Eesti Keskerakond,VLADIMIR VELMAN,496
4,Eesti Keskerakond,AIVAR RIISALU,315
4,Eesti Keskerakond,OLEG TŠUBAROV,243
4,Eesti Keskerakond,TOOMAS VITSUT,226
4,Eesti Keskerakond,KRISTIINA HEINMETS-AIGRO,222
4,Eesti Keskerakond,ILJA BAN,204
4,Eesti Keskerakond,JAANUS KALEV,195
4,Eesti Keskerakond,HANS LIIBEK,126
4,Eesti Keskerakond,KERSTI MÄNNIK,89
4,Eesti Keskerakond,INDREK UUEMAA,86
4,Eesti Keskerakond,JÜRI VÕIGEMAST,80
4,Eesti Keskerakond,VIIVE ROSENBERG,67
4,Eesti Keskerakond,AIVAR ROOP,33
4,Eesti Keskerakond,ERKI TAMMLEHT,11
4,Eestimaa Ühendatud Vasakpartei,JULIA SOMMER,83
4,Isamaa Erakond,JÜRI LUIK,4806
4,Isamaa Erakond,HEIKI HEPNER,962
4,Isamaa Erakond,MARI-ANN KELAM,745
4,Isamaa Erakond,TOOMAS TÕNISTE,479
4,Isamaa Erakond,KALLE MUULI,431
4,Isamaa Erakond,TANEL OTS,409
4,Isamaa Erakond,ARVI KAROTAM,407
4,Isamaa Erakond,ANDRES LAISK,396
4,Isamaa Erakond,GERLI LEHE,277
4,Isamaa Erakond,VILLU KARU,266
4,Isamaa Erakond,KAUPO RÄTSEPP,258
4,Isamaa Erakond,ANDRES KAARMANN,218
4,Isamaa Erakond,LEEMET VAIKMAA,137
4,Isamaa Erakond,PRIIT PÕLDMÄE,110
4,Isamaa Erakond,MART RANNUT,77
4,Isamaa Erakond,MADIS KÜBAR,76
4,Isamaa Erakond,ANN RÄÄMET,40
4,Üksikkandidaadid,RISTO NAHKOR,108
4,Üksikkandidaadid,KAIDO KOOKMAA,29
4,Üksikkandidaadid,VELLO KOOKMAA,28
5,Eesti Vabaerakond,TIINA KANGRO,366
5,Eesti Vabaerakond,ELGE HÄRMA,89
5,Eesti Vabaerakond,EGON ERKMANN,75
5,Eesti Vabaerakond,ANNE KIIDER,67
5,Eesti Vabaerakond,MIKKO NÕUKAS,16
5,Eesti Vabaerakond,JANEK OSTRA,12
5,Eesti Vabaerakond,OLEV VAHER,10
5,Eesti Vabaerakond,JANUS TUUR,9
5,Eesti Reformierakond,KALLE LAANET,3344
